"","ICU_01","ICU_02","ICU_03","ICU_04","NON_01","NON_02","NON_03","NON_04","NON_05","NON_06","NON_07"
"ENSG00000168026",5.499285777661,5.05484296151735,4.36170318602399,6.43178521838034,7.17339502272068,7.0916515548262,6.89925160103441,7.72652413990539,7.79540615848368,7.28291493104377,6.79329237544879
"ENSG00000168038",3.63881293267656,2.84000782410006,3.50080402784715,3.85019597276341,4.44242479497388,5.21577603685723,4.9415707214769,4.51790641642148,5.3789378275535,5.88085580012633,4.94402605458015
"ENSG00000168071",5.99376495656387,5.82798526237016,7.96644241528065,7.46740487587045,5.00811620933598,6.01014347236364,5.04739975351951,5.02957649631398,5.47772758701421,6.06841241353319,4.46902911615839
"ENSG00000168078",2.68470634178974,4.61685441774335,3.3793801319593,3.46318814051337,2.90522324414787,1.57641569406655,1.69592713036016,1.99660141900145,1.00104387366532,1.45032778203104,0.910018289096128
"ENSG00000168096",3.53060281837226,3.26941542395854,2.75515500027182,3.91367289037356,4.11696675230233,4.50165908938572,3.98325855708325,4.39713024380382,4.46164221448214,4.92920949320536,4.2820417822895
"ENSG00000168140",2.17996417309238,3.22754730969492,5.55324908101527,4.62215597137833,1.85848065628266,0.8715079692234,1.18131041397796,1.06047649756215,1.91494877000017,3.09194965570617,0.829830463149543
"ENSG00000168143",2.17372077252798,3.50961593539705,2.77668932044829,2.57620758519686,1.60777208641849,1.14107733665562,1.72272905964295,1.0828277862411,1.72999721231336,0.476692425139631,2.51455135958033
"ENSG00000168273",4.80397636452032,5.13629650768959,3.73883021116682,4.01065541383604,4.82083571471148,5.32352406389218,5.81988564085842,5.40873598329883,5.57637075487847,6.222496908084,5.76358092958934
"ENSG00000168297",4.81905614374385,4.17798268925064,5.50245548779701,5.28718589020007,4.18528117867009,3.76364109616373,4.12813417499048,4.1269645999216,4.00196259159746,3.50030132129033,3.97229715365217
"ENSG00000168309",5.82873661656956,3.46627010359473,4.19577698492335,4.62069356281584,7.70154942894661,7.39764107304385,6.72669275510983,6.81910202716062,6.17380422130151,5.27934139922152,6.66267647674077
"ENSG00000168374",8.46110153092352,8.8131692123413,8.67794484943723,8.59343349472718,7.91666253972097,7.66659463264012,8.26550355896833,7.93218224935122,7.63983360130018,8.52779631721022,8.1061431043663
"ENSG00000168404",5.90656722021285,6.38527629755997,6.44393756631047,6.82719477660957,3.62708793610976,4.97379677522724,3.18141927039496,3.0624852070393,3.93506448131549,2.55360530385578,3.83525679739356
"ENSG00000168421",6.33220438003832,5.71637132198004,8.83052017300668,8.66762967168592,3.23430683450692,3.47916007344217,2.55643902950349,2.29826226530837,2.53923334593482,3.3337403233705,1.78816718970854
"ENSG00000168453",2.16115232530711,4.6629596418421,4.67434468169312,3.04599478058813,2.07200398603209,1.68158839238621,-0.743807436431564,1.26001000949577,0.984597382658566,2.86643659705928,1.4285777072247
