Names	total	elements
		ENSG00000169554
		ENSG00000058063
		ENSG00000166535
		ENSG00000133063
		ENSG00000224687
		ENSG00000092036
		ENSG00000136859
		ENSG00000175003
		ENSG00000138621
		ENSG00000275302
		ENSG00000105889
		ENSG00000073921
		ENSG00000110713
		ENSG00000165794
		ENSG00000100644
		ENSG00000231607
		ENSG00000008516
		ENSG00000268355
		ENSG00000008083
		ENSG00000186806
		ENSG00000143641
		ENSG00000069974
		ENSG00000183735
		ENSG00000185633
		ENSG00000259770
		ENSG00000139354
		ENSG00000144655
		ENSG00000186642
		ENSG00000171208
		ENSG00000005844
		ENSG00000160741
		ENSG00000089351
		ENSG00000177663
		ENSG00000112303
		ENSG00000127947
		ENSG00000198734
		ENSG00000134489
		ENSG00000173334
		ENSG00000163297
		ENSG00000104312
		ENSG00000105697
		ENSG00000068366
		ENSG00000087303
		ENSG00000204569
		ENSG00000109667
		ENSG00000254420
		ENSG00000231123
		ENSG00000140941
		ENSG00000188100
		ENSG00000112394
		ENSG00000267397
		ENSG00000068489
		ENSG00000229672
		ENSG00000188603
		ENSG00000160691
		ENSG00000196396
		ENSG00000176092
		ENSG00000198814
		ENSG00000163041
		ENSG00000186891
		ENSG00000171763
		ENSG00000230657
		ENSG00000079215
		ENSG00000264659
		ENSG00000187653
		ENSG00000119844
		ENSG00000233578
		ENSG00000141985
		ENSG00000197006
		ENSG00000136040
		ENSG00000076944
		ENSG00000143669
		ENSG00000055208
		ENSG00000177238
		ENSG00000268170
		ENSG00000239556
		ENSG00000172382
		ENSG00000082996
		ENSG00000135426
		ENSG00000172936
		ENSG00000170537
		ENSG00000178150
		ENSG00000124772
		ENSG00000174885
		ENSG00000235172
		ENSG00000175489
		ENSG00000105928
		ENSG00000120280
		ENSG00000197355
		ENSG00000204482
		ENSG00000144063
		ENSG00000089280
		ENSG00000154146
		ENSG00000112242
		ENSG00000164111
		ENSG00000102921
		ENSG00000179335
		ENSG00000251661
		ENSG00000125245
		ENSG00000189068
		ENSG00000175591
		ENSG00000141682
		ENSG00000140332
		ENSG00000032444
		ENSG00000124224
		ENSG00000205903
		ENSG00000264017
		ENSG00000138185
		ENSG00000166145
		ENSG00000168995
		ENSG00000087116
		ENSG00000164430
		ENSG00000147408
		ENSG00000146278
		ENSG00000179978
		ENSG00000143418
		ENSG00000010671
		ENSG00000153234
		ENSG00000269378
		ENSG00000243176
		ENSG00000153179
		ENSG00000170909
		ENSG00000123892
		ENSG00000237667
		ENSG00000013016
		ENSG00000146112
		ENSG00000196754
		ENSG00000204839
		ENSG00000174123
		ENSG00000169385
		ENSG00000130449
		ENSG00000155097
		ENSG00000172243
		ENSG00000143552
		ENSG00000137575
		ENSG00000179388
		ENSG00000263155
		ENSG00000137801
		ENSG00000186407
		ENSG00000267121
		ENSG00000173281
		ENSG00000135241
		ENSG00000149177
		ENSG00000168461
		ENSG00000225217
		ENSG00000137841
		ENSG00000162618
		ENSG00000152766
		ENSG00000175352
		ENSG00000260528
		ENSG00000092929
		ENSG00000067334
		ENSG00000151650
		ENSG00000140563
		ENSG00000105641
		ENSG00000171475
		ENSG00000158055
		ENSG00000189051
		ENSG00000284669
		ENSG00000038219
		ENSG00000155744
		ENSG00000241458
		ENSG00000236349
		ENSG00000188910
		ENSG00000172007
		ENSG00000279884
		ENSG00000187605
		ENSG00000168071
		ENSG00000160613
		ENSG00000141543
		ENSG00000169155
		ENSG00000121742
		ENSG00000170775
		ENSG00000148288
		ENSG00000095303
		ENSG00000125538
		ENSG00000140199
		ENSG00000115163
		ENSG00000077420
		ENSG00000123485
		ENSG00000036257
		ENSG00000170465
		ENSG00000228863
		ENSG00000135094
		ENSG00000146083
		ENSG00000167566
		ENSG00000184014
		ENSG00000183570
		ENSG00000133710
		ENSG00000167395
		ENSG00000125430
		ENSG00000173391
		ENSG00000186635
